model_version,score,count,sesnsical,query_type,rung,phenomenon,simpson
gpt4_1106_cot,70.4,5000,,,,,
gpt4_1106_cot,70.12,1563,-1,,,,
gpt4_1106_cot,71.58,1877,0,,,,
gpt4_1106_cot,69.25,1560,1,,,,
gpt4_1106_cot,91.35,716,,ate,,,
gpt4_1106_cot,47.59,784,,backadj,,,
gpt4_1106_cot,51.27,79,,collider_bias,,,
gpt4_1106_cot,75.6,683,,correlation,,,
gpt4_1106_cot,62.31,697,,det-counterfactual,,,
gpt4_1106_cot,56.96,638,,ett,,,
gpt4_1106_cot,90.51,76,,exp_away,,,
gpt4_1106_cot,89.62,801,,marginal,,,
gpt4_1106_cot,71.2,151,,nde,,,
gpt4_1106_cot,66.08,375,,nie,,,
gpt4_1106_cot,83.35,1560,,,1,,
gpt4_1106_cot,67.47,1579,,,2,,
gpt4_1106_cot,62.05,1861,,,3,,
gpt4_1106_cot,70.76,406,,,,IV,
gpt4_1106_cot,62.9,642,,,,arrowhead,
gpt4_1106_cot,70.8,549,,,,chain,
gpt4_1106_cot,71.68,306,,,,collision,
gpt4_1106_cot,82.38,456,,,,confounding,
gpt4_1106_cot,65.55,554,,,,diamond,
gpt4_1106_cot,78.16,462,,,,diamondcut,
gpt4_1106_cot,64.03,483,,,,fork,
gpt4_1106_cot,74.95,532,,,,frontdoor,
gpt4_1106_cot,66.93,610,,,,mediation,
gpt4_1106_cot,69.47,4697,,,,,FALSE
gpt4_1106_cot,83.98,303,,,,,TRUE
