model_version,score,count,sensical,query_type,rung,phenomenon,simpson
gpt4,62.03,5000,,,,,
gpt4,60.47,1563,-1,,,,
gpt4,63.09,1877,0,,,,
gpt4,62.27,1560,1,,,,
gpt4,83.19,716,,ate,,,
gpt4,45.19,784,,backadj,,,
gpt4,55.7,79,,collider_bias,,,
gpt4,58.79,683,,correlation,,,
gpt4,59.77,697,,det-counterfactual,,,
gpt4,54.83,638,,ett,,,
gpt4,83.54,76,,exp_away,,,
gpt4,64.75,801,,marginal,,,
gpt4,71.52,151,,nde,,,
gpt4,66.71,375,,nie,,,
gpt4,63.01,1560,,,1,,
gpt4,62.82,1579,,,2,,
gpt4,60.55,1861,,,3,,
gpt4,67.97,406,,,,IV,
gpt4,55.93,642,,,,arrowhead,
gpt4,61.3,549,,,,chain,
gpt4,64.56,306,,,,collision,
gpt4,73.1,456,,,,confounding,
gpt4,58.23,554,,,,diamond,
gpt4,68.14,462,,,,diamondcut,
gpt4,51.27,483,,,,fork,
gpt4,66.18,532,,,,frontdoor,
gpt4,58.62,610,,,,mediation,
gpt4,61.04,4697,,,,,FALSE
gpt4,76.43,303,,,,,TRUE
